likes,dislikes,views,comment_count,category_id
876.3,4.32,17333.4,57.42,10.0
2290.63,7.85,30269.34,468.02,10.0
39.42,1.54,5615.36,5.46,10.0
827.63,100.02,44217.81,109.78,10.0
2681.43,23.99,93996.54,67.39,10.0
4097.5,47.5,39694.29,258.76,10.0
655.8,12.43,16702.86,52.32,10.0
784.52,23.84,16969.21,73.26,10.0
67.97,68.8,16608.42,0.0,10.0
37.68,1.19,1034.17,2.99,10.0
321.78,129.5,87054.8,94.15,10.0
200.56,22.44,4099.89,42.45,10.0
389.61,53.96,13712.14,56.67,10.0
892.2,4.42,18131.63,58.11,10.0
2296.97,7.85,30571.08,469.88,10.0
40.07,1.56,5645.76,5.66,10.0
3345.33,33.02,132936.47,83.33,10.0
4647.29,57.41,54496.82,281.26,10.0
784.06,15.77,21473.39,59.89,10.0
803.1,25.16,17735.39,75.62,10.0
67.94,68.82,16613.89,0.0,10.0
38.27,1.2,1046.59,3.16,10.0
324.34,130.44,87736.9,95.97,10.0
202.98,22.69,4164.49,43.15,10.0
390.87,54.14,13783.95,56.76,10.0
910.85,4.58,18956.83,59.02,10.0
2307.1,7.9,31027.14,472.06,10.0
41.24,1.58,5702.06,5.78,10.0
68.54,69.84,16643.24,0.0,10.0
40.35,1.35,1090.31,3.27,10.0
326.87,131.54,88203.67,97.19,10.0
899.95,28.68,30090.19,116.8,10.0
205.45,22.86,4215.73,43.54,10.0
391.78,54.29,13840.63,56.81,10.0
923.91,4.73,19536.65,59.48,10.0
2314.2,7.97,31325.27,473.82,10.0
42.29,1.58,5744.12,5.96,10.0
843.63,103.72,45669.73,112.14,10.0
4293.41,51.75,241520.49,287.4,10.0
333.92,31.65,13996.74,50.7,10.0
3398.24,138.24,252746.94,298.31,10.0
179.2,0.79,4041.62,6.42,10.0
3748.25,38.23,159601.27,90.59,10.0
5083.84,63.98,70115.72,296.67,10.0
847.41,17.36,24105.63,63.43,10.0
821.25,26.72,18487.47,77.09,10.0
904.18,11.97,18001.3,27.61,10.0
179.2,0.79,4041.62,6.42,10.0
3748.25,38.23,159601.27,90.59,10.0
1610.58,21.98,42156.71,102.89,10.0
213.1,1.17,5296.54,7.18,10.0
5284.8,67.61,78307.56,303.85,10.0
855.6,17.62,24572.44,64.33,10.0
827.21,26.97,18762.56,78.76,10.0
68.74,70.18,16734.75,0.0,10.0
41.42,1.36,1188.27,3.26,10.0
331.98,133.21,89434.44,99.76,10.0
212.78,23.18,4396.74,44.32,10.0
394.9,54.65,14020.67,57.24,10.0
949.16,5.16,20981.75,60.7,10.0
903.54,19.03,59337.27,65.39,10.0
2505.46,43.93,76416.75,158.98,10.0
898.93,44.66,34116.14,140.71,10.0
227.28,1.44,5900.78,7.31,10.0
5480.22,71.03,87653.09,310.23,10.0
864.44,17.84,25007.43,65.21,10.0
831.4,27.17,18987.12,80.01,10.0
68.76,70.21,16741.71,0.0,10.0
41.64,1.37,1195.52,3.29,10.0
333.75,133.57,89782.72,100.19,10.0
213.75,23.24,4426.48,44.45,10.0
